# du/u0, z/d fig 7 case 3 7D
0.09009009009009028, 0.21160409556313953
0.10472972972973027, 0.28327645051194494
0.12162162162162193, 0.3651877133105801
0.14189189189189233, 0.46075085324232057
0.16441441441441507, 0.5767918088737198
0.18018018018018078, 0.6791808873720133
0.18918918918918926, 0.781569965870307
0.19144144144144204, 0.8907849829351535
0.18693693693693758, 0.9999999999999998
0.1790540540540546, 1.0750853242320817
0.158783783783784, 1.197952218430034
0.1373873873873881, 1.3105802047781576
0.11824324324324409, 1.409556313993174
0.09909909909909964, 1.491467576791809
0.07882882882882924, 1.5870307167235498
0.06306306306306375, 1.6825938566552903
0.046171171171171865, 1.7781569965870307
0.03265765765765849, 1.8805460750853245
0.02252252252252318, 1.9761092150170652
