dir,speed,ti
10.0,8.0550061514824,0.0456610699321765
40.0,8.0550061514824,0.0456610699321765
70.0,8.0550061514824,0.0456610699321765
100.0,8.0550061514824,0.0456610699321765
130.0,8.0550061514824,0.0456610699321765
160.0,8.0550061514824,0.0456610699321765
190.0,8.0550061514824,0.0456610699321765
220.0,8.0550061514824,0.0456610699321765
250.0,8.0550061514824,0.0456610699321765
280.0,8.0550061514824,0.0456610699321765
310.0,8.0550061514824,0.0456610699321765
340.0,8.0550061514824,0.0456610699321765
