dir,speed,ti
10.0,8.0,0.101
40.0,8.0,0.101
70.0,8.0,0.101
100.0,8.0,0.101
130.0,8.0,0.101
160.0,8.0,0.101
190.0,8.0,0.101
220.0,8.0,0.101
250.0,8.0,0.101
280.0,8.0,0.101
310.0,8.0,0.101
340.0,8.0,0.101
