dir,speed,ti
10.0,8.231062958863385,0.0695126792648127
40.0,8.231062958863385,0.0695126792648127
70.0,8.231062958863385,0.0695126792648127
100.0,8.231062958863385,0.0695126792648127
130.0,8.231062958863385,0.0695126792648127
160.0,8.231062958863385,0.0695126792648127
190.0,8.231062958863385,0.0695126792648127
220.0,8.231062958863385,0.0695126792648127
250.0,8.231062958863385,0.0695126792648127
280.0,8.231062958863385,0.0695126792648127
310.0,8.231062958863385,0.0695126792648127
340.0,8.231062958863385,0.0695126792648127
