# u, h from Porte-agel 2011
3.300732459744209, 3.544214719900026
3.4441651919234695, 3.515472008230631
3.6952297340768414, 4.214976285288174
3.857575084993847, 4.488908928695139
4.028955584289987, 4.925953534946814
4.189737448777125, 5.329062483110079
4.463668817535054, 6.937010086357532
4.767981514911026, 7.6276884108434615
5.036155153655612, 8.198313779010789
5.270102837587376, 8.873404764696318
5.508131634332814, 9.666298442974949
5.7637703895468295, 12.17391775253077
6.005744659115309, 14.877067384900784
6.194756169577681, 16.96573596344905
6.445911760762264, 19.463458606941458
6.708477995024768, 21.965690982458796
6.959698903721581, 25.75343449247754
7.188085869335333, 29.282184225866104
7.474481677630797, 34.37206848029979
7.684575662497101, 37.91345111772907
7.924851912385741, 44.9694613006823
8.523494110078028, 62.018606464109126
8.76188603017419, 69.08891770386589
8.902487017202207, 73.9182692307688
9.056057414616122, 81.13933060738154
9.168989370334307, 87.33974358974322
9.264766165449245, 93.36960041990494
9.365780185004867, 98.95833333333306
9.454438187708487, 104.92630252538757
9.518175916910094, 108.77403846153814
9.603747086896785, 113.421854370787
9.687679464529957, 118.47791154193564
9.78297481230699, 125.16581785297879
9.886410662122687, 131.4102564102561
10.069170102028428, 141.06163357306622
10.183643625004287, 148.35680177715213
10.331197227147944, 157.56076931762885
10.46899262900564, 166.5043212354273
10.648524064037407, 176.837405139029
10.751369169645798, 184.179630165856
10.911801435760218, 196.85161298728354
10.996663307078204, 205.241457696361
11.065485367820372, 212.34301101274218
11.157161604445468, 220.10315590310336
11.226060288276273, 228.71801522001584
11.294972305591179, 237.59621084792568
