,case_name,num_turbines,run_final_time,wall_time_seconds,wall_rate,Precursor,precursor_wind_speed,z0,turbine_name,hub_height,D,init_hub_height,layout_x,layout_y,yaw,turbine_power,approx_ti,total_power,ti,sim
0,c_000_38turb_D126_lowTI_wd10,38,7200.0,127025.0,17.64236111111111,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 2388.0, 1893.0, 2005.0, 2612.0, 3107.0, 2995.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2164.0, 1563.0, 1063.0, 719.0, 568.0, 627.0, 888.0, 1324.0, 1888.0, 2518.0, 3146.0, 3704.0, 4131.0, 4382.0, 4429.0, 4266.0, 3913.0, 3406.0, 2801.0)","(2500.0, 3136.0, 2721.0, 2085.0, 1864.0, 2279.0, 2915.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 4407.0, 4195.0, 3799.0, 3262.0, 2642.0, 2007.0, 1426.0, 961.0, 662.0, 563.0, 674.0, 983.0, 1456.0, 2042.0, 2678.0, 3294.0, 3825.0, 4212.0, 4413.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1703.6662388059701, 1809.6036716417912, 1560.6362805970132, 1533.8328208955218, 1663.8111940298506, 1247.0238895522393, 1228.3754955223908, 1017.4076955223844, 1908.9777611940299, 1936.6447164179106, 1938.2898805970149, 1752.9923283582089, 1706.7975223880596, 952.2615761194053, 1326.3761074626864, 923.8010656716418, 1062.3229462686563, 1399.6014597014923, 1029.3478686567119, 1886.4093731343285, 1831.9294626865671, 1788.270447761194, 1881.6873731343283, 1884.8966865671641, 1764.4751641791045, 1759.672776119403, 1826.8207462686566, 1859.2340298507463, 1495.8421731343283, 806.8616597014922, 1320.256002985076, 679.8524626865674, 467.15447164179363, 594.5910985074643, 639.6661820895529, 973.2067194029911, 1157.108325373132, 500.83594029850593)","(0.12153123725719013, 0.13445274131280907, 0.17339741215098572, 0.1806122474690139, 0.13735626017997196, 0.1451790808125065, 0.13381379501962615, 0.14679350631549004, 0.10399168368622357, 0.07219408242281722, 0.10497606501623297, 0.09550331666203549, 0.12230892692110977, 0.2145806642800786, 0.1663696088437421, 0.15562614580220202, 0.15465569621875835, 0.1524270424842822, 0.24496543014936142, 0.10366049046910526, 0.1038263963037909, 0.10900769424266829, 0.08394313630685497, 0.10555382227468299, 0.0954206342743642, 0.10132604267456372, 0.10098829460222827, 0.10683245286097655, 0.15950639970175676, 0.21995200819175872, 0.1670996613974804, 0.2146157760365057, 0.20056523724723951, 0.2816927825612565, 0.21008858468519084, 0.3042237677798165, 0.16841814428220325, 0.16868439888019032)",52820.54161492538,low,sowfa
1,c_001_38turb_D126_lowTI_wd40,38,7200.0,125975.0,17.49652777777778,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 2085.0, 1864.0, 2279.0, 2915.0, 3136.0, 2721.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1255.0, 841.0, 606.0, 577.0, 756.0, 1124.0, 1641.0, 2252.0, 2889.0, 3484.0, 3972.0, 4301.0, 4435.0, 4359.0, 4081.0, 3633.0, 3061.0, 2429.0, 1804.0)","(2500.0, 2995.0, 2388.0, 1893.0, 2005.0, 2612.0, 3107.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3984.0, 3499.0, 2906.0, 2269.0, 1657.0, 1137.0, 764.0, 579.0, 603.0, 832.0, 1241.0, 1788.0, 2411.0, 3044.0, 3618.0, 4071.0, 4354.0, 4435.0, 4308.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1826.9816417910447, 1255.179528358211, 1681.4088716417907, 1890.845880597015, 1707.7054328358208, 1828.5166865671642, 1829.4750447761194, 668.6486955223861, 767.1812567164229, 546.2274477611933, 614.6299552238835, 1828.8431641791044, 672.2344358208945, 1507.7291970149258, 979.0722955223893, 1635.4133313432833, 1761.8331910447766, 955.6902955223838, 1838.8866268656716, 1878.2068656716417, 1827.7955820895522, 1876.7341791044776, 1869.0856716417911, 1709.6471940298507, 1759.8593731343283, 1852.1288059701492, 1803.6067462686567, 571.2085522388091, 1389.031343283582, 768.5276447761152, 1214.7465343283595, 879.3016567164204, 933.2345492537277, 1262.2119014925393, 1503.9961253731344, 654.8611701492537, 1872.100686567164, 1835.7513432835822)","(0.11607972782753345, 0.23695037875225736, 0.15637316152857378, 0.08953381925570944, 0.13025740021673643, 0.13849891011329052, 0.1290010306361126, 0.17468720693501238, 0.2125345051368443, 0.16342258685236682, 0.18701447313335107, 0.11283703196121761, 0.19579991756835333, 0.1586753985748609, 0.22286590105615794, 0.14194922545161462, 0.15576407104303902, 0.22117687301141434, 0.1046108008580869, 0.09668142117939589, 0.10529141210824675, 0.08200175677998231, 0.10818164223339746, 0.09844315536371068, 0.11474846401497675, 0.1010872685775526, 0.11678237149446802, 0.2013616788102161, 0.211281132533264, 0.24576661397882996, 0.1712035672834357, 0.21648765099992526, 0.2067380287273594, 0.19904460934035967, 0.1761942380652279, 0.1919161369827901, 0.11368812076119934, 0.09839364598232486)",53258.53890447762,low,sowfa
2,c_002_38turb_D126_lowTI_wd70,38,7200.0,129095.0,17.929861111111112,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 1893.0, 2005.0, 2612.0, 3107.0, 2995.0, 2388.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 680.0, 564.0, 657.0, 950.0, 1411.0, 1990.0, 2624.0, 3245.0, 3785.0, 4186.0, 4404.0, 4416.0, 4220.0, 3838.0, 3310.0, 2695.0, 2059.0, 1471.0, 994.0)","(2500.0, 2721.0, 2085.0, 1864.0, 2279.0, 2915.0, 3136.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 3162.0, 2536.0, 1905.0, 1339.0, 898.0, 632.0, 567.0, 712.0, 1051.0, 1547.0, 2146.0, 2784.0, 3390.0, 3901.0, 4259.0, 4427.0, 4386.0, 4141.0, 3717.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1314.300164179104, 1965.6469253731343, 1871.2554626865672, 1229.5972686567184, 1221.5711582089543, 1226.1724477611936, 1289.4122388059707, 1934.0314029850747, 1937.0026865671641, 1753.2879701492536, 1036.4100746268664, 979.8443462686595, 1580.4859402985076, 1025.8728567164194, 1144.4161761194016, 1741.7759104477611, 719.7543940298477, 1192.8624507462669, 1900.4981791044777, 1874.058, 1822.1457611940298, 1810.3950746268656, 1765.055343283582, 1851.1345074626865, 1839.9916119402985, 992.1121402985052, 1341.7652298507448, 1719.1930985074628, 748.9823611940292, 859.9739283582139, 743.3665582089596, 899.4848238806015, 1730.836402985075, 1484.4367552238796, 658.7682328358178, 1914.902, 1825.5684179104478, 1774.5380597014926)","(0.1236489991179979, 0.09995516123142313, 0.09852701967333126, 0.12667563174058682, 0.14177381312130777, 0.14073724851311153, 0.14379779754972644, 0.07250798481669304, 0.10612031131608292, 0.09547890084841497, 0.18963645048501032, 0.23858491848594565, 0.14777673596370133, 0.15965015105299854, 0.16857671413646366, 0.13864854247128172, 0.2789169204000149, 0.20897050873520526, 0.10455517371171393, 0.08796414393494006, 0.10569464060328335, 0.09432504620449494, 0.10436816562009998, 0.11185443591913792, 0.10521548813505122, 0.2071492412297038, 0.20578244305226973, 0.16706995948263884, 0.22217849928982666, 0.25325589754088773, 0.2512199770956886, 0.22217911551587288, 0.16208445910297253, 0.1682974944399572, 0.26595508850550537, 0.0992424937556125, 0.09920931761737115, 0.09985304214837834)",54720.906361194044,low,sowfa
3,c_003_38turb_D126_lowTI_wd100,38,7200.0,125740.0,17.46388888888889,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 1864.0, 2279.0, 2915.0, 3136.0, 2721.0, 2085.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 593.0, 805.0, 1201.0, 1738.0, 2358.0, 2993.0, 3574.0, 4039.0, 4338.0, 4437.0, 4326.0, 4017.0, 3544.0, 2958.0, 2322.0, 1706.0, 1175.0, 788.0, 587.0)","(2500.0, 2388.0, 1893.0, 2005.0, 2612.0, 3107.0, 2995.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2164.0, 1563.0, 1063.0, 719.0, 568.0, 627.0, 888.0, 1324.0, 1888.0, 2518.0, 3146.0, 3704.0, 4131.0, 4382.0, 4429.0, 4266.0, 3913.0, 3406.0, 2801.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1826.105671641791, 1822.0317910447761, 1900.6562985074627, 1544.9261492537314, 1759.1270447761194, 1865.6494029850746, 1062.9302477611898, 1848.8321791044775, 1631.594059701492, 1844.7398507462688, 876.2832985074668, 1200.7427432835775, 808.6295343283582, 1407.2373223880606, 1536.7115313432828, 1021.2708567164176, 1784.3880895522389, 1415.1452238805973, 1950.1468059701492, 1806.8102686567165, 1710.410447761194, 1813.8080298507464, 1881.006447761194, 1817.0592537313432, 689.1551671641776, 1720.9843701492534, 1109.9351761194002, 945.905689552241, 789.755229850751, 1229.6357074626842, 871.6285641791028, 1661.9008119402986, 692.4750447761172, 1899.02376119403, 1854.1220597014926, 1874.7936119402984, 1883.1974328358208, 1877.4820298507464)","(0.12023316067360754, 0.11578047922190791, 0.08869959952531314, 0.13759838264822993, 0.13707740702899848, 0.1213736822177666, 0.22503330322725928, 0.1342688004751812, 0.144323806932944, 0.1018475335978245, 0.2165208464451877, 0.16664987842834858, 0.21131554905195446, 0.14036270858718097, 0.18503164188615462, 0.1995231102446304, 0.11088198185284856, 0.20559283260248182, 0.07506216649042843, 0.1015889877958337, 0.09948027513476773, 0.10009401101741827, 0.1069010286435607, 0.11808813566878519, 0.18334822046869004, 0.15556521679053742, 0.23791614301717334, 0.1965285814851046, 0.20119782347132678, 0.19663512456859739, 0.21110457314537828, 0.14454669573219747, 0.18103176224553438, 0.10314778868281586, 0.09635594092116015, 0.09901077225479112, 0.10260225235282057, 0.0885058960942499)",57236.23720597014,low,sowfa
4,c_004_38turb_D126_lowTI_wd130,38,7200.0,127938.0,17.769166666666667,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 2005.0, 2612.0, 3107.0, 2995.0, 2388.0, 1893.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1016.0, 1501.0, 2094.0, 2731.0, 3343.0, 3863.0, 4236.0, 4421.0, 4397.0, 4168.0, 3759.0, 3212.0, 2589.0, 1956.0, 1382.0, 929.0, 646.0, 565.0, 692.0)","(2500.0, 2085.0, 1864.0, 2279.0, 2915.0, 3136.0, 2721.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1255.0, 841.0, 606.0, 577.0, 756.0, 1124.0, 1641.0, 2252.0, 2889.0, 3484.0, 3972.0, 4301.0, 4435.0, 4359.0, 4081.0, 3633.0, 3061.0, 2429.0, 1804.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1520.6008089552236, 1860.1242686567164, 1461.856292537314, 1067.412450746271, 1148.1896746268626, 1438.0354477611954, 1951.6060597014925, 1669.6996417910448, 958.0971582089527, 720.5957850746312, 1634.3897164179118, 1099.1611522388073, 1223.6195701492527, 1878.3425373134328, 684.2677313432785, 1770.4341791044776, 1873.518895522388, 1814.1163880597014, 1923.8219701492537, 1770.845880597015, 1861.2554626865672, 1805.4294626865671, 601.24781791045, 1403.7851253731353, 1333.555188059701, 1044.6623671641778, 823.572167164179, 857.2825522388069, 1246.5101970149224, 1688.914895522388, 1127.228743283581, 1218.300083582093, 1854.9880895522388, 1837.5295820895522, 1802.3001492537314, 1898.766895522388, 1824.096985074627, 1748.4912835820896)","(0.18538952676154627, 0.0997358289244781, 0.17682993709880787, 0.13326970944447986, 0.17415443166156055, 0.1547797456959935, 0.09616907948528995, 0.1114862142071947, 0.23475981940889007, 0.24451662596254087, 0.1370464327439204, 0.15282103198226954, 0.14528206995161505, 0.1369755869317258, 0.19036914768909902, 0.13598824153483433, 0.10822559997038876, 0.09860299258459679, 0.10996773954609454, 0.10813283399519981, 0.11250755923880454, 0.11417157297828759, 0.1760748507712757, 0.16407592988554853, 0.20687568192212685, 0.19177955292361953, 0.19488308485629022, 0.1779433221604492, 0.16255970541657963, 0.14969613895547532, 0.21551082074050884, 0.21340389421410272, 0.1002982807777247, 0.10397238855041956, 0.0907691299487351, 0.08005467590337727, 0.08782801066067542, 0.10017935781009732)",55446.65265671641,low,sowfa
5,c_005_38turb_D126_lowTI_wd160,38,7200.0,125678.0,17.455277777777777,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 2279.0, 2915.0, 3136.0, 2721.0, 2085.0, 1864.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 1838.0, 2464.0, 3095.0, 3661.0, 4102.0, 4368.0, 4433.0, 4288.0, 3949.0, 3453.0, 2854.0, 2216.0, 1610.0, 1099.0, 741.0, 573.0, 614.0, 859.0, 1283.0)","(2500.0, 1893.0, 2005.0, 2612.0, 3107.0, 2995.0, 2388.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 680.0, 564.0, 657.0, 950.0, 1411.0, 1990.0, 2624.0, 3245.0, 3785.0, 4186.0, 4404.0, 4416.0, 4220.0, 3838.0, 3310.0, 2695.0, 2059.0, 1471.0, 994.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1779.526776119403, 1793.9583582089551, 1221.5172537313422, 1427.597474626865, 1840.8364179104478, 1038.4210328358263, 1812.1217014925373, 1822.2713134328358, 930.9658865671645, 1186.424719402985, 816.3983402985143, 1302.9476507462691, 1329.840429850747, 1068.107364179095, 1270.2392626865717, 1913.9126865671642, 1942.0756119402986, 1937.3269552238805, 1758.199343283582, 1865.3405074626867, 1666.598208955224, 695.4960238806028, 1360.1209611940303, 918.1484358209036, 477.07775820895336, 597.4642059701475, 1087.4147223880602, 740.4937313432833, 1190.1924358208976, 522.5522149253732, 1902.3154925373135, 1852.9702686567164, 1848.9749552238807, 1866.7754029850746, 1874.0083880597015, 1765.3761791044776, 1742.968, 1819.180447761194)","(0.12152751010059147, 0.11753601098976636, 0.14173626956442628, 0.14353805911705328, 0.12965465053405403, 0.22204573172391284, 0.12364597242824009, 0.10591868600467282, 0.21999600575288564, 0.1336458363369664, 0.2461663645777964, 0.16394216410659215, 0.140037232870443, 0.24740319829982352, 0.18328231124581268, 0.10513933995578086, 0.07168490947959835, 0.104395576369531, 0.09392349258725713, 0.10772236353263341, 0.13632352608930934, 0.16759580967768914, 0.13927136165016885, 0.2049501037300529, 0.28008014745622567, 0.23933332025881585, 0.2358289709070976, 0.25099627357846105, 0.15141181079459365, 0.1709046407249557, 0.10252586677056384, 0.09598464389186538, 0.1030096402263365, 0.08957994510593786, 0.10474278214843191, 0.1009346360595514, 0.09807623659313171, 0.09835877830557463)",53986.156919403,low,sowfa
6,c_006_38turb_D126_lowTI_wd190,38,7200.0,126403.0,17.555972222222223,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 2612.0, 3107.0, 2995.0, 2388.0, 1893.0, 2005.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2836.0, 3437.0, 3937.0, 4281.0, 4432.0, 4373.0, 4112.0, 3676.0, 3112.0, 2482.0, 1854.0, 1296.0, 869.0, 618.0, 571.0, 734.0, 1087.0, 1594.0, 2199.0)","(2500.0, 1864.0, 2279.0, 2915.0, 3136.0, 2721.0, 2085.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 593.0, 805.0, 1201.0, 1738.0, 2358.0, 2993.0, 3574.0, 4039.0, 4338.0, 4437.0, 4326.0, 4017.0, 3544.0, 2958.0, 2322.0, 1706.0, 1175.0, 788.0, 587.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1886.4730746268656, 1867.4040597014925, 1219.7462298507469, 1227.1385522388084, 1971.725552238806, 1925.254119402985, 1840.2562686567164, 592.8622597014953, 1592.359674626866, 1102.1750328358166, 1181.913988059701, 1847.7331641791045, 914.6265343283603, 1849.9480298507463, 1011.3236298507485, 563.3608149253746, 818.3516477611894, 735.1553164179136, 1676.9667223880597, 494.6890716417891, 1185.3552776119368, 784.5258089552221, 1150.3698328358219, 981.4373104477618, 970.7780716417902, 1206.3919850746247, 1316.0441373134329, 668.1588208955254, 1723.3839701492536, 1862.3386865671641, 1880.5587462686567, 1825.4536417910447, 1892.721432835821, 1854.0967164179106, 1712.5905373134328, 1768.8516417910448, 1851.1785970149253, 1824.1794925373135)","(0.10767321898038933, 0.11589324144501535, 0.15173300740179865, 0.16713596729822802, 0.09542352207030796, 0.09924022400927426, 0.10446116696797526, 0.16321958812735193, 0.15022844242902275, 0.16314224714279305, 0.1623131279292496, 0.1456316537294291, 0.23104700323207283, 0.1041366843328719, 0.21095225542644147, 0.14826280557082303, 0.2219954372401458, 0.17843937249161052, 0.17067462776536566, 0.1736668768046235, 0.1730725878139146, 0.2063257713069982, 0.19971970896258748, 0.2346877012942035, 0.21047357401509753, 0.17094855922662494, 0.13055784042453047, 0.18369651364930986, 0.14387624759979303, 0.10129096984969832, 0.09637790348213982, 0.1065687897654136, 0.07608573775240357, 0.10481001057754191, 0.09867407983503647, 0.114420646793077, 0.10625823388355127, 0.11471837671325001)",52777.87845074627,low,sowfa
7,c_007_38turb_D126_lowTI_wd220,38,7200.0,125474.0,17.426944444444445,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 2915.0, 3136.0, 2721.0, 2085.0, 1864.0, 2279.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3745.0, 4159.0, 4394.0, 4423.0, 4244.0, 3876.0, 3359.0, 2748.0, 2111.0, 1516.0, 1028.0, 699.0, 565.0, 641.0, 919.0, 1367.0, 1939.0, 2571.0, 3196.0)","(2500.0, 2005.0, 2612.0, 3107.0, 2995.0, 2388.0, 1893.0, 1511.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1016.0, 1501.0, 2094.0, 2731.0, 3343.0, 3863.0, 4236.0, 4421.0, 4397.0, 4168.0, 3759.0, 3212.0, 2589.0, 1956.0, 1382.0, 929.0, 646.0, 565.0, 692.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1389.647644776119, 1301.7964268656688, 1293.1228208955222, 1554.2943731343296, 1001.5928567164178, 1789.6775223880597, 1292.0712865671642, 1492.8047134328353, 1037.8950119402919, 1616.0287253731328, 1569.3864597014924, 893.8208776119386, 959.5238955223905, 1904.3697014925374, 1938.4832835820896, 1933.8010746268658, 1754.0848358208955, 1411.273579104479, 997.1777074626859, 1537.2153910447764, 610.5502358208909, 822.0879880597013, 593.9010358209015, 637.9520358209005, 1353.5315970149281, 1320.2786746268662, 535.1082835820836, 1892.5439402985076, 1843.2847462686568, 1805.0112537313432, 1876.0086865671642, 1860.9499402985075, 1767.6662985074627, 1773.6086268656716, 1853.151880597015, 1852.0145074626867, 1229.2667701492512, 1040.460567164181)","(0.13522019297402088, 0.20017814476610338, 0.175940257911971, 0.1529320057860652, 0.22157675099285318, 0.12584250086429008, 0.15709061019932916, 0.15990801775370495, 0.2424477961688831, 0.1703781955214432, 0.14556768778261223, 0.2895124038457727, 0.15959305165336296, 0.10412827881958427, 0.0726414882685166, 0.10559584673131012, 0.0952720852134841, 0.16336559251249258, 0.21277830239338252, 0.20266300782075647, 0.17280911091889756, 0.2616907727785061, 0.2176705746464962, 0.2007285661537418, 0.24658672401220172, 0.1953084065371999, 0.23127125271575807, 0.10081026936364963, 0.10218159632659116, 0.10784444402234525, 0.08257343581212687, 0.10689734545894737, 0.09229304333699542, 0.10120099168229006, 0.10575375330958595, 0.10467530356892639, 0.1884703930600625, 0.23548911745034937)",53335.44525671642,low,sowfa
8,c_008_38turb_D126_lowTI_wd250,38,7200.0,125423.0,17.41986111111111,neutral_5kmx5kmx1km_lowTI,8.0,0.15,NREL-5.0-126-RWT,90.0,126.0,90.0,"(2500.0, 3107.0, 2995.0, 2388.0, 1893.0, 2005.0, 2612.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 2058.0, 2724.0, 3330.0, 4320.0, 4436.0, 4343.0, 4050.0, 3589.0, 3010.0, 2376.0, 1755.0, 1215.0, 814.0, 596.0, 584.0, 780.0, 1162.0, 1690.0, 2305.0, 2941.0, 3529.0, 4006.0)","(2500.0, 2279.0, 2915.0, 3136.0, 2721.0, 2085.0, 1864.0, 2058.0, 2724.0, 3330.0, 3713.0, 3772.0, 3489.0, 2942.0, 2276.0, 1670.0, 1287.0, 1228.0, 1511.0, 1838.0, 2464.0, 3095.0, 3661.0, 4102.0, 4368.0, 4433.0, 4288.0, 3949.0, 3453.0, 2854.0, 2216.0, 1610.0, 1099.0, 741.0, 573.0, 614.0, 859.0, 1283.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1925.2, 1216.5391462686598, 987.8361074626854, 2016.7723880597016, 1712.0497611940298, 1584.4804537313428, 1881.5840895522388, 1039.7443552238815, 1081.1022298507487, 1686.6132388059696, 988.8883194029917, 1834.872, 836.6024656716453, 1552.6587164179105, 1130.4336388059646, 1042.4747313432822, 1845.5223880597016, 801.082241791047, 1361.555376119403, 1098.708220895528, 1225.3513373134272, 1177.6654298507458, 1125.8365164179118, 1734.2477343283583, 692.2636388059649, 1918.0352835820895, 1837.6470447761194, 1881.6105970149254, 1853.1227462686568, 1875.0980597014925, 1861.9840895522389, 1713.0312835820896, 1789.8125373134328, 1869.2783582089553, 1776.5840597014926, 669.4080059701515, 1646.4706626865666, 918.6135014925355)","(0.09403985567346179, 0.18604971019213223, 0.15461824458296375, 0.08585375171929915, 0.13406750281329743, 0.14070321049979606, 0.10399754079126065, 0.18861992083310203, 0.18296370103039789, 0.1597291046490081, 0.20617704527273656, 0.10586901210815312, 0.23634939622580367, 0.14338318950112922, 0.22648827064283222, 0.23622464631638687, 0.10102016374406916, 0.20274909870882304, 0.1750887871234, 0.17036588010799, 0.1792486521555786, 0.16244090654209542, 0.19622056560213724, 0.1580401161367924, 0.18517340394779214, 0.10493989373382377, 0.09719688364174923, 0.09852494847484904, 0.10429292866622168, 0.08469253088973111, 0.10641942387358941, 0.09747040263153935, 0.10619100272431982, 0.10294436656369335, 0.11938245536238172, 0.19162446172392672, 0.18165560439732298, 0.2812247823622394)",55190.78075522388,low,sowfa
