# u/u0, z/d for case with z0 = 5E-2
0.06645445942061357,	0.028421318
0.07085041165621786,	0.112064494
0.08428697396343043,	0.187155403
0.09840586170030607,	0.247100706
0.11004000053524732,	0.309846816
0.12338866225456457,	0.384695777
0.13649900033268403,	0.444732689
0.1508011873269961,	    0.505740633
0.16391152540511555,	0.563746023
0.1770218634832348,	    0.630958375
0.18631828502953773,	0.693813259
0.19156242026078552,	0.760516032
0.1925158993937397,	    0.811377689
0.1925158993937397,	    0.872635893
0.19108568069430842,	0.959607458
0.1844113267636296,	    1.034571074
0.1778731841376584,	    1.104064561
0.16987076998607886,	1.180675332
0.15838509316770177,	1.255779643
0.14389233954451353,	1.334233291
0.12553399030371137,	1.445760838
0.0993788819875776,	    1.543470884
0.08167395018782098,	1.640530844
0.05545327403158229,	1.757155383
0.0445134575569357,	    1.828767157
0.032808144623921454,	1.908767625
0.026848900042958146,	1.949817053
