Height (m),Speed (m/s) zref=90.0 uref=7.95 shear=0.175 ground=0.0
233.0,9.389509707950385
234.0,9.396541539498378
235.0,9.403548616982984
236.0,9.41053113232794
237.0,9.417489275163419
238.0,9.424423232863003
239.0,9.431333190579863
240.0,9.438219331282259
241.0,9.445081835788288
242.0,9.451920882799968
243.0,9.45873664893661
244.0,9.465529308767568
245.0,9.472299034844312
246.0,9.47904599773188
247.0,9.485770366039718
248.0,9.492472306451917
249.0,9.499151983756851
250.0,9.505809560876266
251.0,9.51244519889378
252.0,9.519059057082861
253.0,9.525651292934253
254.0,9.532222062182887
255.0,9.538771518834285
256.0,9.54529981519045
257.0,9.551807101875294
258.0,9.558293527859565
259.0,9.564759240485314
260.0,9.571204385489931
261.0,9.577629107029692
262.0,9.584033547702909
263.0,9.590417848572642
264.0,9.596782149188988
265.0,9.603126587610967
266.0,9.609451300428018
267.0,9.6157564227811
268.0,9.622042088383404
269.0,9.628308429540708
270.0,9.634555577171355
271.0,9.640783660825885
272.0,9.646992808706308
273.0,9.653183147685045
274.0,9.659354803323518
275.0,9.665507899890441
276.0,9.671642560379764
277.0,9.677758906528314
278.0,9.68385705883314
279.0,9.68993713656853
280.0,9.695999257802765
281.0,9.702043539414563
282.0,9.708070097109255
283.0,9.714079045434671
284.0,9.72007049779677
285.0,9.72604456647499
286.0,9.73200136263735
287.0,9.737940996355295
288.0,9.74386357661829
289.0,9.749769211348172
290.0,9.75565800741325
291.0,9.761530070642198
292.0,9.76738550583769
293.0,9.773224416789832
294.0,9.779046906289347
295.0,9.784853076140575
296.0,9.790643027174239
297.0,9.79641685926001
298.0,9.802174671318866
299.0,9.807916561335258
300.0,9.81364262636907
