250	28	22808.500000	0.500000	1827623.625000	
250	29	22808.500000	0.500000	1906282.000000	
250	30	22808.500000	0.500000	1767058.625000	
250	31	22808.500000	0.500000	1946809.750000	
250	32	22808.500000	0.500000	2010003.375000	
250	33	22808.500000	0.500000	1746115.875000	
250	34	22808.500000	0.500000	1796482.375000	
250	35	22808.500000	0.500000	875060.000000	
250	36	22808.500000	0.500000	1850514.625000	
250	37	22808.500000	0.500000	1075782.875000	
280	0	23519.500000	0.500000	1232984.750000	
280	1	23519.500000	0.500000	1820080.625000	
280	2	23519.500000	0.500000	1099547.875000	
280	3	23519.500000	0.500000	787594.875000	
280	4	23519.500000	0.500000	1076416.750000	
280	5	23519.500000	0.500000	1026255.000000	
280	6	23519.500000	0.500000	1178702.500000	
280	7	23519.500000	0.500000	1692070.000000	
280	8	23519.500000	0.500000	2071519.750000	
280	9	23519.500000	0.500000	649425.937500	
280	10	23519.500000	0.500000	1693679.625000	
280	11	23519.500000	0.500000	1796912.750000	
280	12	23519.500000	0.500000	1801816.250000	
280	13	23519.500000	0.500000	1712160.125000	
280	14	23519.500000	0.500000	1763235.875000	
280	15	23519.500000	0.500000	817764.000000	
280	16	23519.500000	0.500000	1158369.000000	
280	17	23519.500000	0.500000	1711830.500000	
280	18	23519.500000	0.500000	1193540.500000	
280	19	23519.500000	0.500000	1439430.625000	
280	20	23519.500000	0.500000	1353672.625000	
280	21	23519.500000	0.500000	1910637.250000	
280	22	23519.500000	0.500000	1475111.375000	
280	23	23519.500000	0.500000	1099834.750000	
280	24	23519.500000	0.500000	1822874.625000	
280	25	23519.500000	0.500000	1850056.125000	
280	26	23519.500000	0.500000	1898229.875000	
280	27	23519.500000	0.500000	2135119.000000	
280	28	23519.500000	0.500000	1859847.875000	
280	29	23519.500000	0.500000	2137451.750000	
280	30	23519.500000	0.500000	1773922.875000	
280	31	23519.500000	0.500000	2087109.000000	
280	32	23519.500000	0.500000	1579258.500000	
280	33	23519.500000	0.500000	720693.312500	
280	34	23519.500000	0.500000	1801309.375000	
280	35	23519.500000	0.500000	1951310.500000	
280	36	23519.500000	0.500000	965556.125000	
280	37	23519.500000	0.500000	1791567.625000	
310	0	25366.000000	0.500000	1621222.750000	
310	1	25366.000000	0.500000	1157347.500000	
310	2	25366.000000	0.500000	2028442.750000	
310	3	25366.000000	0.500000	781324.062500	
310	4	25366.000000	0.500000	1227325.750000	
310	5	25366.000000	0.500000	1777670.500000	
310	6	25366.000000	0.500000	1228611.375000	
310	7	25366.000000	0.500000	1808988.875000	
310	8	25366.000000	0.500000	1052835.750000	
310	9	25366.000000	0.500000	1566282.625000	
310	10	25366.000000	0.500000	2155943.250000	
310	11	25366.000000	0.500000	1887306.250000	
310	12	25366.000000	0.500000	1822158.125000	
310	13	25366.000000	0.500000	1753427.625000	
310	14	25366.000000	0.500000	1948747.250000	
310	15	25366.000000	0.500000	935635.437500	
310	16	25366.000000	0.500000	1359871.375000	
310	17	25366.000000	0.500000	1212466.625000	
310	18	25366.000000	0.500000	1177197.875000	
310	19	25366.000000	0.500000	919250.812500	
310	20	25366.000000	0.500000	1543585.625000	
310	21	25366.000000	0.500000	729755.625000	
310	22	25366.000000	0.500000	2128648.750000	
310	23	25366.000000	0.500000	1868273.875000	
310	24	25366.000000	0.500000	1760665.875000	
310	25	25366.000000	0.500000	1715147.375000	
310	26	25366.000000	0.500000	2119196.500000	
310	27	25366.000000	0.500000	1901222.000000	
310	28	25366.000000	0.500000	2051877.500000	
310	29	25366.000000	0.500000	1939716.375000	
310	30	25366.000000	0.500000	2054139.750000	
310	31	25366.000000	0.500000	2103236.500000	
310	32	25366.000000	0.500000	786398.187500	
310	33	25366.000000	0.500000	1884045.125000	
310	34	25366.000000	0.500000	1135585.625000	
310	35	25366.000000	0.500000	1229936.875000	
310	36	25366.000000	0.500000	1258110.750000	
310	37	25366.000000	0.500000	1218371.750000	
340	0	26091.000000	0.500000	1261814.250000	
340	1	26091.000000	0.500000	1591886.625000	
340	2	26091.000000	0.500000	924205.500000	
340	3	26091.000000	0.500000	783978.375000	
340	4	26091.000000	0.500000	1581063.250000	
340	5	26091.000000	0.500000	1451241.750000	
340	6	26091.000000	0.500000	1877817.875000	
340	7	26091.000000	0.500000	737026.750000	
340	8	26091.000000	0.500000	1611426.125000	
340	9	26091.000000	0.500000	1697358.750000	
340	10	26091.000000	0.500000	1188455.375000	
340	11	26091.000000	0.500000	1837903.375000	
340	12	26091.000000	0.500000	1421588.125000	
340	13	26091.000000	0.500000	1679986.125000	
340	14	26091.000000	0.500000	600756.250000	
340	15	26091.000000	0.500000	1918116.750000	
340	16	26091.000000	0.500000	897965.687500	
340	17	26091.000000	0.500000	1877426.250000	
340	18	26091.000000	0.500000	1826302.000000	
340	19	26091.000000	0.500000	987422.187500	
340	20	26091.000000	0.500000	1391339.250000	
340	21	26091.000000	0.500000	1780328.750000	
340	22	26091.000000	0.500000	1837405.000000	
340	23	26091.000000	0.500000	2054586.625000	
340	24	26091.000000	0.500000	1850723.875000	
340	25	26091.000000	0.500000	1828802.000000	
340	26	26091.000000	0.500000	1769661.375000	
340	27	26091.000000	0.500000	1743138.500000	
340	28	26091.000000	0.500000	1859338.375000	
340	29	26091.000000	0.500000	1995714.000000	
340	30	26091.000000	0.500000	524092.031250	
340	31	26091.000000	0.500000	1231781.625000	
340	32	26091.000000	0.500000	1423618.500000	
340	33	26091.000000	0.500000	1087041.750000	
340	34	26091.000000	0.500000	1140382.250000	
340	35	26091.000000	0.500000	1145854.875000	
340	36	26091.000000	0.500000	1109256.750000	
340	37	26091.000000	0.500000	1563471.875000	
