h,u
5.0,5.994596004486084
15.0,6.90728759765625
25.0,7.129913806915283
35.0,7.386759281158447
45.0,7.535966873168945
55.0,7.680019855499268
65.0,7.783317565917969
75.0,7.87905216217041
85.0,7.957244396209717
95.0,8.03219223022461
105.0,8.09678840637207
115.0,8.158445358276367
125.0,8.21345043182373
135.0,8.264946937561035
145.0,8.31232738494873
155.0,8.363264083862305
165.0,8.414251327514648
175.0,8.460599899291992
185.0,8.501641273498535
195.0,8.539277076721191
205.0,8.573834419250488
215.0,8.606276512145996
225.0,8.636565208435059
235.0,8.666074752807617
245.0,8.693489074707031
255.0,8.719122886657715
265.0,8.744619369506836
275.0,8.768595695495605
285.0,8.79198169708252
295.0,8.813889503479004
