Height (m),Speed (m/s) zref=90.0 uref=7.99 shear=0.084 ground=0.0
1.0,5.483167675359492
2.0,5.81095485278597
3.0,6.011708315982836
4.0,6.158337351757702
5.0,6.274530090219471
6.0,6.371091981972606
7.0,6.453892345029985
8.0,6.5264865927966165
9.0,6.591196734483906
10.0,6.649625405504664
11.0,6.702926637735429
12.0,6.751959827265764
13.0,6.7973826744859105
14.0,6.8397100475778165
15.0,6.879352767519346
16.0,6.916644024672762
17.0,6.951857885839368
18.0,6.985222578918337
19.0,7.016930232779603
20.0,7.047144152270121
21.0,7.076004342422551
22.0,7.103631765348729
23.0,7.13013166415323
24.0,7.155596189477012
25.0,7.180106497561811
26.0,7.203734442784023
27.0,7.2265439554295465
28.0,7.248592172592179
29.0,7.269930373563836
30.0,7.290604759013177
31.0,7.310657104318154
32.0,7.33012531073658
33.0,7.349043873048261
34.0,7.367444278447704
35.0,7.385355348498034
36.0,7.402803533651629
37.0,7.419813168038626
38.0,7.436406690801753
39.0,7.452604839126217
40.0,7.468426817210453
41.0,7.483890444697384
42.0,7.4990122874984095
43.0,7.513807773464469
44.0,7.528291294967812
45.0,7.542476300136879
46.0,7.556375374221555
47.0,7.570000312346039
48.0,7.583362184723282
49.0,7.5964713952516085
50.0,7.609337734285388
51.0,7.621970426263018
52.0,7.634378172783627
53.0,7.646569191645931
54.0,7.658551252296192
55.0,7.6703317080755085
56.0,7.681917525607919
57.0,7.6933153116290285
58.0,7.704531337518723
59.0,7.715571561770389
60.0,7.7264416506019975
61.0,7.737146996890908
62.0,7.747692737593797
63.0,7.75808376979523
64.0,7.768324765512728
65.0,7.778420185372514
66.0,7.788374291258005
67.0,7.7981911580225125
68.0,7.80787468434823
69.0,7.817428602825321
70.0,7.826856489317513
71.0,7.836161771674142
72.0,7.845347737842745
73.0,7.8544175434311665
74.0,7.8633742187635125
75.0,7.872220675470176
76.0,7.880959712648466
77.0,7.889594022627079
78.0,7.898126196364656
79.0,7.906558728510047
80.0,7.914894022149453
81.0,7.923134393263471
82.0,7.931282074915132
83.0,7.939339221188224
84.0,7.947307910893588
85.0,7.955190151059681
86.0,7.962987880222297
87.0,7.970702971527224
88.0,7.97833723565848
89.0,7.985892423603787
90.0,7.993370229268068
91.0,8.000772291944884
92.0,8.008100198655022
93.0,8.015355486360718
94.0,8.022539644063407
95.0,8.029654114792278
96.0,8.0367002974904
97.0,8.043679548804738
98.0,8.05059318478584
