id,aepi,aepf,aepib,aepfb,aepic,aepfc,info,time,fcalls,nrotorpoints
1,463.22107408705335,470.648161231142,456.2471493011723,462.15740716039124,463.22107408705335,470.648161231142,Finished successfully: optimality conditions satisfied,31.311002016067505,728,1
2,461.8590172528941,470.79495131890314,455.2836649430397,461.8328337728013,461.8590172528941,470.79495131890314,Finished successfully: requested accuracy could not be achieved,69.70065402984619,2128,1
3,462.24808422216864,470.44242695883787,455.55469732754943,461.7892745085026,462.24808422216864,470.44242695883787,Finished successfully: optimality conditions satisfied,111.45690488815308,4690,1
4,463.013634136336,469.92386132609784,456.0998871010726,461.51106959395395,463.013634136336,469.92386132609784,Finished successfully: optimality conditions satisfied,18.696022033691406,581,1
5,463.1246659778616,469.84095735645514,456.15176983915444,461.14450414192737,463.1246659778616,469.84095735645514,Finished successfully: optimality conditions satisfied,21.520308017730713,679,1
6,461.9432145984886,470.57665516903677,455.2147363988811,461.8785946286679,461.9432145984886,470.57665516903677,Finished successfully: optimality conditions satisfied,33.277836084365845,1008,1
7,462.127030504216,469.8716166517316,455.4857839602079,461.14169068431005,462.127030504216,469.8716166517316,Finished successfully: optimality conditions satisfied,32.082974910736084,896,1
8,462.12913964164153,469.6397070660078,455.42324870604125,460.9653625049884,462.12913964164153,469.6397070660078,Finished successfully: optimality conditions satisfied,17.01150608062744,546,1
9,463.81138371227854,471.1070891435403,456.7049405339424,462.3166295309148,463.81138371227854,471.1070891435403,Finished successfully: requested accuracy could not be achieved,129.92340898513794,3150,1
10,462.35062929282026,470.3972538997117,455.64848009737693,461.60266070499614,462.35062929282026,470.3972538997117,Finished successfully: optimality conditions satisfied,19.735132932662964,658,1
11,462.8478799201797,469.2378264794081,455.978266738349,460.41311200676927,462.8478799201797,469.2378264794081,Finished successfully: optimality conditions satisfied,23.39008593559265,735,1
12,462.1689734018631,471.3174181676387,455.5374701205085,462.4020734086377,462.1689734018631,471.3174181676387,Finished successfully: optimality conditions satisfied,184.77225589752197,9527,1
13,464.10366835710374,470.8701199520123,456.9289240374373,461.9254156497533,464.10366835710374,470.8701199520123,Finished successfully: optimality conditions satisfied,28.043636083602905,945,1
14,462.65039092117973,470.53286234724123,455.94854012945433,461.98453213228464,462.65039092117973,470.53286234724123,Finished successfully: optimality conditions satisfied,27.087127923965454,777,1
15,462.0748581911177,470.710622789806,455.32927514983237,462.20677784819907,462.0748581911177,470.710622789806,Finished successfully: optimality conditions satisfied,17.546196937561035,679,1
16,462.51865218867385,470.7773016660065,455.926502563329,461.6298522130882,462.51865218867385,470.7773016660065,Finished successfully: optimality conditions satisfied,16.283266067504883,581,1
17,461.56152671566747,470.02701275859306,455.1207746821202,461.4998257516815,461.56152671566747,470.02701275859306,Finished successfully: optimality conditions satisfied,15.616437911987305,560,1
18,462.3017054949199,471.46624345673195,455.7346556507697,462.7146424254658,462.3017054949199,471.46624345673195,Finished successfully: optimality conditions satisfied,17.952924013137817,672,1
19,462.41027376715846,470.9355086436146,455.5815417364753,462.3174240099402,462.41027376715846,470.9355086436146,Finished successfully: optimality conditions satisfied,26.998558044433594,903,1
20,461.7000106958747,470.39338677488735,455.22272304861775,462.15256127768606,461.7000106958747,470.39338677488735,Finished successfully: optimality conditions satisfied,26.3420569896698,917,1
21,463.97196757883984,470.7434203218442,456.80671781803335,461.93256745435434,463.97196757883984,470.7434203218442,Finished successfully: optimality conditions satisfied,28.453516960144043,868,1
22,461.8531083981224,470.56076364800447,455.3889162004594,462.07040037349486,461.8531083981224,470.56076364800447,Finished successfully: optimality conditions satisfied,18.086323976516724,693,1
23,461.90543795801506,470.2709473473103,455.3640949210908,461.78803506001,461.90543795801506,470.2709473473103,Finished successfully: optimality conditions satisfied,28.147327184677124,833,1
24,462.63558347960014,470.76576125780895,455.765054849584,461.9358651258013,462.63558347960014,470.76576125780895,Finished successfully: optimality conditions satisfied,31.511917114257812,931,1
25,462.6291446910278,471.3213275104739,455.77556996342577,462.23182300646215,462.6291446910278,471.3213275104739,Finished successfully: optimality conditions satisfied,19.39283514022827,763,1
26,463.37111178768856,470.65179667008,456.424759133223,461.88653414947197,463.37111178768856,470.65179667008,Finished successfully: optimality conditions satisfied,22.846179008483887,812,1
27,463.5732665195041,470.47014396251467,456.4593764887754,461.75567108002457,463.5732665195041,470.47014396251467,Finished successfully: optimality conditions satisfied,25.97659707069397,756,1
28,463.7398383657497,470.95247308648,456.58370951388355,462.3191895464341,463.7398383657497,470.95247308648,Finished successfully: optimality conditions satisfied,14.127444982528687,532,1
29,462.4678835448189,470.54576816636467,455.80959887396523,461.8650854441056,462.4678835448189,470.54576816636467,Finished successfully: requested accuracy could not be achieved,147.81248784065247,3451,1
30,464.14965151919625,470.4805592049061,456.95424452006154,461.9328445381627,464.14965151919625,470.4805592049061,Finished successfully: optimality conditions satisfied,16.453798055648804,574,1
31,462.95645513990667,470.9350322674508,456.0675751123599,461.8891609243557,462.95645513990667,470.9350322674508,Finished successfully: requested accuracy could not be achieved,155.35209107398987,3668,1
32,463.93183232535256,470.8111759450304,456.76309611147394,462.20756783362964,463.93183232535256,470.8111759450304,Finished successfully: optimality conditions satisfied,28.457014083862305,1127,1
33,462.6007237817402,470.78860767900545,455.6438278028925,462.12078315144754,462.6007237817402,470.78860767900545,Finished successfully: optimality conditions satisfied,22.062817096710205,896,1
34,461.79244548498434,470.24597746294415,455.1639495042491,461.25084893646857,461.79244548498434,470.24597746294415,Finished successfully: requested accuracy could not be achieved,230.36182308197021,6818,1
