id,aepi,aepf,aepib,aepfb,aepic,aepfc,info,time,fcalls,nrotorpoints
1,481.826883630512,489.1905979134508,474.5204202405493,480.53082088889283,481.826883630512,489.1905979134508,Finished successfully: optimality conditions satisfied,92.47474503517151,2471,1
2,479.9683345082194,487.65042751777764,473.1771127661398,479.438855440838,479.9683345082194,487.65042751777764,Finished successfully: optimality conditions satisfied,27.13518500328064,658,1
3,481.235178944087,488.5031496503254,474.06854494450954,479.96353839945095,481.235178944087,488.5031496503254,Finished successfully: optimality conditions satisfied,28.264599800109863,658,1
4,481.4803859462453,487.81225424526195,474.2289941218854,479.2020456829962,481.4803859462453,487.81225424526195,Finished successfully: optimality conditions satisfied,26.857427835464478,616,1
5,481.30644533266826,488.7803533922879,474.11202306901913,480.06845727704905,481.30644533266826,488.7803533922879,Finished successfully: optimality conditions satisfied,26.311997890472412,644,1
6,480.1606001780144,488.30647007282045,473.3196725274981,479.99694386398795,480.1606001780144,488.30647007282045,Finished successfully: optimality conditions satisfied,33.520479917526245,672,1
7,480.9794633893513,488.72821133991016,473.86379966640385,480.0009373409179,480.9794633893513,488.72821133991016,Finished successfully: optimality conditions satisfied,34.108099937438965,798,1
8,480.70707214300154,488.5928971729725,473.62921168397185,480.0021241814514,480.70707214300154,488.5928971729725,Finished successfully: optimality conditions satisfied,59.41440796852112,1078,1
9,481.80194195488315,489.4523105368839,474.4848339633352,480.66437980860985,481.80194195488315,489.4523105368839,Finished successfully: optimality conditions satisfied,84.16284990310669,2569,1
10,480.4648075408552,487.6183014371347,473.5437647171342,479.1329051287576,480.4648075408552,487.6183014371347,Finished successfully: optimality conditions satisfied,19.181241989135742,434,1
11,481.547193159783,487.86110459032847,474.29805300372834,479.1652367947894,481.547193159783,487.86110459032847,Finished successfully: optimality conditions satisfied,20.297268867492676,455,1
12,480.40974577221147,487.7594181795086,473.4648850210484,479.4077722064516,480.40974577221147,487.7594181795086,Finished successfully: optimality conditions satisfied,26.784723043441772,567,1
13,482.0349826807977,489.0954257335546,474.67114852857543,480.66290456301704,482.0349826807977,489.0954257335546,Finished successfully: optimality conditions satisfied,31.35166096687317,735,1
14,481.00243992021615,489.24370190048523,473.92969542810255,480.52479917263736,481.00243992021615,489.24370190048523,Finished successfully: optimality conditions satisfied,24.477391958236694,609,1
15,480.5372572948733,488.20289352795044,473.563248629158,479.85447391643663,480.5372572948733,488.20289352795044,Finished successfully: optimality conditions satisfied,26.537576913833618,616,1
16,480.76340701641607,488.35709873192616,473.74349335251054,479.58032625199684,480.76340701641607,488.35709873192616,Finished successfully: optimality conditions satisfied,27.813266038894653,637,1
17,480.21200594273,487.8334577300062,473.32962388419696,479.15820813493644,480.21200594273,487.8334577300062,Finished successfully: optimality conditions satisfied,32.955573081970215,686,1
18,480.8947820375951,488.78233793666243,473.8236198532342,480.2516352188975,480.8947820375951,488.78233793666243,Finished successfully: optimality conditions satisfied,34.20857095718384,819,1
19,480.868792025747,488.6825268774172,473.82152508657475,480.0832790467809,480.868792025747,488.6825268774172,Finished successfully: optimality conditions satisfied,24.423197031021118,574,1
20,480.1453452543794,488.3550373340411,473.2993084013666,480.1160214823116,480.1453452543794,488.3550373340411,Finished successfully: optimality conditions satisfied,31.251843214035034,686,1
21,481.7421209232877,488.2829868583938,474.4476872388123,479.90495643548905,481.7421209232877,488.2829868583938,Finished successfully: optimality conditions satisfied,25.95103693008423,595,1
22,480.5974694810045,487.6912130842367,473.59806474869646,478.938194433991,480.5974694810045,487.6912130842367,Finished successfully: optimality conditions satisfied,39.42697811126709,791,1
23,480.5166045545833,487.6433323372709,473.5684464619007,479.12587686421426,480.5166045545833,487.6433323372709,Finished successfully: optimality conditions satisfied,35.73637008666992,637,1
24,480.7306734989925,488.63024178131064,473.7036330824278,480.2640518234946,480.7306734989925,488.63024178131064,Finished successfully: optimality conditions satisfied,47.168269872665405,1337,1
25,481.5098888893969,488.2151252086622,474.2287928520744,479.8964107558218,481.5098888893969,488.2151252086622,Finished successfully: optimality conditions satisfied,319.1640591621399,10332,1
26,481.65904174083715,488.54741843434635,474.38761361312936,480.14613346868964,481.65904174083715,488.54741843434635,Finished successfully: optimality conditions satisfied,26.1475510597229,609,1
27,481.6075830431529,487.80525128271125,474.2792984089327,479.20360505244025,481.6075830431529,487.80525128271125,Finished successfully: optimality conditions satisfied,26.266896963119507,567,1
28,481.26760192930954,487.9922363903172,474.0970287425099,479.77581419011835,481.26760192930954,487.9922363903172,Finished successfully: optimality conditions satisfied,18.634855031967163,434,1
29,480.8593971836016,487.3900986750617,473.78102784183466,478.97037905987565,480.8593971836016,487.3900986750617,Finished successfully: optimality conditions satisfied,67.17982292175293,1176,1
30,482.15415807185883,488.3918256251078,474.7531230402585,479.79545191563255,482.15415807185883,488.3918256251078,Finished successfully: optimality conditions satisfied,22.589989185333252,560,1
31,481.0292214187245,488.3030652880988,473.8827709761284,479.65708397972446,481.0292214187245,488.3030652880988,Finished successfully: optimality conditions satisfied,25.73328185081482,567,1
32,481.8976931247407,488.06703562422746,474.5587297965776,479.7681861194782,481.8976931247407,488.06703562422746,Finished successfully: optimality conditions satisfied,26.1810040473938,637,1
33,480.60997314360554,488.56976915972643,473.66287999374026,479.8262519114923,480.60997314360554,488.56976915972643,Finished successfully: optimality conditions satisfied,39.85107207298279,812,1
34,480.12787199810515,488.6064467889214,473.263440186819,479.9036891002862,480.12787199810515,488.6064467889214,Finished successfully: requested accuracy could not be achieved,163.7901439666748,2513,1
