aepib,aepfb
4420.837893600675,4669.103461790373
4424.169050435064,4759.875089265826
4425.931301931316,4697.12437181333
4175.8611048106595,4754.842467637363
4208.958933773831,4755.877299238821
4112.7304030448395,4732.25605275685
4139.514428370578,4793.638853359719
4442.32894300808,4690.336218515831
4396.404652532302,4802.361530302434
4359.867968675149,4727.930781997803
4126.341821834688,4785.71155273006
4291.307632910967,4587.4605123012425
4397.483499186394,4672.543217407208
4389.183360492828,4785.311961342556
4319.253172502626,4748.698340900771
4310.225257210868,4771.89500821386
4285.607692667101,4653.755714659614
4323.313948679669,4730.747546383164
4287.978816670458,4657.155185014261
4210.0110758282135,4847.343544573897
4391.025110228426,4754.474558703468
4200.898136278796,4595.89588600262
4279.614821217645,4669.301368336697
4164.735830259215,4709.139804034483
4112.121243120202,4754.613627852899
4409.44782963777,4731.194365234935
4261.351666746791,4725.107850115566
4402.208537448088,4684.855672418785
4217.615273702116,4702.797534423789
4392.034355058249,4557.1412179303115
4190.248700263767,4695.208872366887
4384.477270587588,4717.258090540463
4455.004670629463,4706.0857881010215
4345.4621013832775,4805.5681205424125
4171.984046814583,4831.847593377931
4393.510455083686,4837.7625406584775
4400.976685218116,4828.647015493874
4348.601319792256,4840.242976382675
4378.990632010985,4706.473776737552
4198.828041473268,4589.406886230302
4340.959462730018,4803.934660521723
4415.445812862686,4675.48418748495
4256.615896406634,4746.968494855132
4327.52972608769,4636.266601118152
4434.996554140603,4828.685031845053
4275.9794004625,4724.346465901218
4174.914791181007,4690.817659946932
4244.593414158598,4737.074606428618
4382.363324275105,4781.173038985295
4420.930234536453,4698.518759464252
4244.338860070071,4719.18838435797
4178.971705036897,4728.886757784396
4368.330968092964,4724.549268640644
4183.8930506577935,4727.956007780862
4409.394382559679,4742.6720397243225
4162.803274005709,4803.189058547773
4289.7650646056,4743.080947372873
4361.3332174611,4841.407619313768
4378.763276201404,4832.192798911962
4321.270434958598,4781.002127314784
4173.459458213888,4699.558535498807
4332.830346506798,4787.06511315658
4418.351387909155,4836.329221072367
4372.362435123751,4550.898968041697
4419.276073101546,4628.2418111675115
4397.908653018136,4633.6093445006045
4354.277174262312,4755.679984074089
4418.884585518925,4712.747194350885
4419.724188734046,4842.8531533787345
4360.176293064274,4818.702252631383
4350.894705320513,4644.72541400989
4116.199756624723,4737.3800931819005
4134.6153429419,4803.240956902516
4402.003189584786,4694.542989106199
4319.767233410726,4766.542991632907
4372.437160943901,4735.81381924024
4267.620083317392,4712.453381360246
4355.174754666591,4851.880692731663
4431.5538065678,4798.2002948804375
4226.409069096999,4676.191335742068
4412.0055640517185,4748.061859749141
4275.904569617641,4763.56926108682
4388.998647129859,4790.948371511421
4357.820724931608,4743.462398877334
4413.716570538582,4659.897031662021
4172.186382744983,4681.6732884349185
4144.492395700155,4812.820150585784
4109.744619502081,4657.528872637647
4403.824735226244,4765.585371830099
4391.138354686184,4740.810338538381
4352.454554580075,4686.4580091546
4458.74652751604,4706.3038711515865
4333.265128209,4859.577251853748
4329.201194872264,4834.781388470816
4435.939383846936,4593.863798898644
4217.337120758812,4803.969221080862
4366.324786333634,4773.525088784769
4412.74297022707,4795.422600781629
4420.570265183626,4601.4259294946005
4109.24180735752,4699.735744739199
4327.554456951358,4737.423641722337
4395.991439067354,4779.89976504683
4355.518805472046,4749.139808047749
4406.994620253324,4762.773140731896
4149.88024698627,4736.455077750701
4132.117396353901,4629.739231480929
4360.961542220926,4671.0165953429605
4394.527713592455,4846.807598426844
4402.935565347069,4747.965655883287
4433.407056628296,4823.336537745637
4332.0708755634305,4756.167881511769
4266.647191554546,4716.200411698274
4331.172261860062,4695.663994286881
4148.073201407643,4610.317584675181
4316.037157195918,4790.115475741822
4331.949901577082,4650.295285622457
4252.4697495046585,4680.884262976743
4402.598774174528,4855.187598803876
4312.453251363045,4759.535751796744
4373.92327212031,4746.736771130469
4395.397871205086,4637.9352879306125
4423.342011059103,4646.425852152875
4393.368514711921,4742.354766876429
4388.437527948295,4741.237816766672
4401.588577924734,4639.370346640236
4287.22867518373,4730.944663408387
4367.957202246039,4724.242793079193
4218.753265831717,4680.175223585973
4447.7846967372625,4765.357504522101
4405.316915337186,4627.851184105926
4253.896115729591,4663.344476105878
4421.887440986932,4643.894054392246
4440.4391496010385,4725.295247957984
4431.22753333775,4742.982916665195
4322.853171012099,4810.097652289087
4382.4672744588115,4557.688660473684
4274.300802498475,4777.701477267857
4123.533005197802,4692.13318590227
4150.537005982414,4736.7784037850315
4387.511568840599,4714.883739682657
4362.110160810019,4764.7930139368955
4201.047622653491,4848.308773554554
4359.6304133348785,4751.193830021143
4321.78456665887,4739.375585592076
4350.6098181805255,4645.355521313971
4271.502536717874,4755.126442434131
4356.593771915921,4747.85801734865
4130.193444781631,4685.58059969182
4255.936106682803,4764.32579319778
4385.847238055502,4841.35329087844
