aepib,aepfb
462.71178319253556,494.3124962802636
461.62356576716536,497.953991108154
461.80758708750307,495.10367857283416
445.4521573396095,491.72377770626423
446.82361144717237,493.685052880253
444.0549136410064,495.87373792270546
444.23399153548576,490.25387738961433
462.1631291523685,498.0851696146477
463.93300189995284,494.623612879232
458.73156977567066,494.6369317359881
443.71849629494614,492.25081222132997
452.40474144534505,492.29962708460505
463.3591110416261,494.5774875197676
459.6342665656322,487.6358072462787
458.4453519380128,497.9707201937222
457.45337882766364,487.0006707711496
452.2256981328829,491.7163450418371
457.9391610482803,490.85816955052474
456.21419824789547,497.96697504188785
448.0232932536831,498.0916892589379
456.8049873736469,492.8728882061964
448.929387477262,491.52663276941985
453.97932722542004,496.69828990456233
446.76968262439084,494.69787647215105
442.7854739791601,488.7541501852756
463.34496279027655,496.5823394218861
449.13916929500596,489.1415803712899
457.5585855942496,496.3021798253876
449.0288198746922,492.5717253917189
463.1893511297138,496.72470720245565
446.22715019771243,492.0429930080003
463.06186295801655,492.5067864131436
462.2501941021385,495.2864242336565
456.4277503534428,494.8623870237076
445.4106342136405,492.2232803403835
463.0111929931162,498.20295456895724
462.1466961202335,490.23892826827597
458.67214587609203,492.1553864458176
456.0273300334596,498.0855553955312
446.56600212446614,494.7361433321629
454.36798178562697,494.39139663109086
460.3827514221268,498.0198057475304
452.176783593648,497.9353796162061
454.6438393867115,489.7466445944276
461.90979407634023,495.8273533989861
450.9795266055645,493.45104176260355
446.09298060951966,497.9411447257326
453.37025111236613,494.42260414440386
463.04573879470973,496.5978236395077
459.8413467674133,498.09166217908296
450.0220692921488,496.53205144729054
444.81070441213416,495.24072693580854
460.0104348866639,490.85539528192373
447.87397492740547,494.41266046560537
458.5166347043046,496.58908857696184
447.3122252546025,498.1994051776228
454.40726252110613,494.6924847847183
461.28326139521596,494.0628131965316
457.25631835444966,491.4657598954179
454.60544182068986,493.485032246922
448.2662503000825,495.2869269582416
456.11783773863493,496.5815987228965
460.5334567232891,492.00299357649124
456.40066133683314,495.698194921916
463.40716299688717,495.0432031272389
463.4280432936338,496.9162674873756
455.17052668555453,493.6169057281107
459.50761923519616,495.8171813759159
460.01964050636366,494.8614524648183
460.29574750761503,498.1001234081122
457.17397838613624,489.1923077183263
444.7197890036878,493.82477015777
444.0205112816145,490.88910901063707
459.1529961552429,492.7983464958658
453.0531565605396,498.0934363645281
456.50590788232705,496.57810156334466
453.68747491443264,493.03851970992775
455.6067590762253,493.4127190513689
462.0940233294097,492.2003238943705
448.9316920271437,496.58610921649375
461.68166136402573,492.67111995532537
452.52585487551096,498.09848689794234
460.41196567132624,498.2208995797697
455.8119234518539,498.1006229656844
464.09661026940205,494.55238419811633
446.1865295691839,488.2845022199445
443.52311039127665,494.5669488091022
442.49435188707747,491.0503380200452
460.61930973729216,494.97045835781796
463.3100934822802,498.20184355740923
458.4019386602236,494.90978774585733
462.5646927618074,495.84222415005445
454.3327842220835,488.8014927749992
459.0112557996439,498.02044284527614
460.4415456518565,492.1125913820741
451.17695876536845,494.19871005471583
456.21826168434836,490.7020263062161
460.27675172949904,490.28121713040724
463.9543141163298,498.0943395426008
443.77729770320616,497.99214085350707
453.6555754878573,491.4071879635566
458.4379914414648,493.343764656665
455.78853891136345,494.83164272143733
460.03073172018094,497.94097577797794
