x,y
28.753681617399522,56.191746640590424
-593.2116946380203,-458.68433215086037
95.39861421354489,-765.8925689055123
704.176006017077,-292.53890010633506
634.1155068503951,413.4805055663085
-64.47344491702889,754.2202988702464
-572.6191734086426,422.83795203759087
-111.31234809261528,1517.5995692660908
-658.3893365322692,1065.1419303195612
-1332.2551254074099,666.9818424617881
-1229.3947637718197,-148.11325715182556
-1230.760482009734,-917.7591407800784
-525.4532967579318,-1169.3050537744778
107.43385551458222,-1540.8684314848726
725.596057520144,-1017.217780217795
1380.558959380923,-646.5246475942187
1249.6803341780656,74.20102602164837
1255.6942613105346,879.1393173936627
561.1042091925732,1135.265021476574
-1384.4597916182508,1343.4121951704226
-1583.1339164342799,1115.7424625485983
-1715.3794504057305,822.1985968944501
-1918.6018364759184,264.87965813996675
-1815.9540314884766,-673.4279446523391
-1527.6228458712349,-1121.6919538575646
-1168.2183090549295,-1544.8172132849818
-428.7297932305488,-1888.7522348907044
141.34262237046366,-1895.8062503674348
738.5096844221587,-1790.4741515023522
1408.8897984300875,-1328.9935198806888
1714.2813106908425,-801.4680570437922
1924.3609811641536,-219.15532036430716
1849.5997609053477,574.6085314897152
1555.5889622156965,1087.3290122006354
1168.6909778208415,1544.459659128902
422.38105813045496,1890.1821292740824
-144.1395743163569,1890.3249696889984
-721.3746044323657,1797.446221751153
